Party,Won,File Name
Bharatiya Janata Party - BJP,1,Andaman & Nicobar Islands
Telugu Desam - TDP,16,Andhra Pradesh
Yuvajana Sramika Rythu Congress Party - YSRCP,4,Andhra Pradesh
Bharatiya Janata Party - BJP,3,Andhra Pradesh
Janasena Party - JnP,2,Andhra Pradesh
Bharatiya Janata Party - BJP,2,Arunachal Pradesh
Bharatiya Janata Party - BJP,9,Assam
Indian National Congress - INC,3,Assam
"United People’s Party, Liberal - UPPL",1,Assam
Asom Gana Parishad - AGP,1,Assam
Janata Dal (United) - JD(U),12,Bihar
Bharatiya Janata Party - BJP,12,Bihar
Lok Janshakti Party(Ram Vilas) - LJPRV,5,Bihar
Rashtriya Janata Dal - RJD,4,Bihar
Indian National Congress - INC,3,Bihar
Communist Party of India (Marxist-Leninist) (Liberation) - CPI(ML)(L),2,Bihar
Hindustani Awam Morcha (Secular) - HAMS,1,Bihar
Independent - IND,1,Bihar
Indian National Congress - INC,1,Chandigarh
Bharatiya Janata Party - BJP,10,Chhattisgarh
Indian National Congress - INC,1,Chhattisgarh
Bharatiya Janata Party - BJP,1,Dadra & Nagar Haveli and Daman & Diu
Independent - IND,1,Dadra & Nagar Haveli and Daman & Diu
Bharatiya Janata Party - BJP,1,Goa
Indian National Congress - INC,1,Goa
Bharatiya Janata Party - BJP,25,Gujarat
Indian National Congress - INC,1,Gujarat
Indian National Congress - INC,5,Haryana
Bharatiya Janata Party - BJP,5,Haryana
Bharatiya Janata Party - BJP,4,Himachal Pradesh
Jammu & Kashmir National Conference - JKN,2,Jammu and Kashmir
Bharatiya Janata Party - BJP,2,Jammu and Kashmir
Independent - IND,1,Jammu and Kashmir
Bharatiya Janata Party - BJP,8,Jharkhand
Jharkhand Mukti Morcha - JMM,3,Jharkhand
Indian National Congress - INC,2,Jharkhand
AJSU Party - AJSUP,1,Jharkhand
Bharatiya Janata Party - BJP,17,Karnataka
Indian National Congress - INC,9,Karnataka
Janata Dal (Secular) - JD(S),2,Karnataka
Indian National Congress - INC,14,Kerala
Indian Union Muslim League - IUML,2,Kerala
Communist Party of India (Marxist) - CPI(M),1,Kerala
Bharatiya Janata Party - BJP,1,Kerala
Kerala Congress - KEC,1,Kerala
Revolutionary Socialist Party - RSP,1,Kerala
Independent - IND,1,Ladakh
Indian National Congress - INC,1,Lakshadweep
Bharatiya Janata Party - BJP,29,Madhya Pradesh
Indian National Congress - INC,13,Maharashtra
Bharatiya Janata Party - BJP,9,Maharashtra
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,Maharashtra
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,Maharashtra
Shiv Sena - SHS,7,Maharashtra
Nationalist Congress Party - NCP,1,Maharashtra
Independent - IND,1,Maharashtra
Indian National Congress - INC,2,Manipur
Voice of the People Party - VOTPP,1,Meghalaya
Indian National Congress - INC,1,Meghalaya
Zoram People’s Movement - ZPM,1,Mizoram
Indian National Congress - INC,1,Nagaland
Bharatiya Janata Party - BJP,7,NCT OF Delhi
Bharatiya Janata Party - BJP,20,Odisha
Indian National Congress - INC,1,Odisha
Indian National Congress - INC,1,Puducherry
Indian National Congress - INC,7,Punjab
Aam Aadmi Party - AAAP,3,Punjab
Shiromani Akali Dal - SAD,1,Punjab
Independent - IND,2,Punjab
Bharatiya Janata Party - BJP,14,Rajasthan
Indian National Congress - INC,8,Rajasthan
Communist Party of India (Marxist) - CPI(M),1,Rajasthan
Rashtriya Loktantrik Party - RLTP,1,Rajasthan
Bharat Adivasi Party - BHRTADVSIP,1,Rajasthan
Sikkim Krantikari Morcha - SKM,1,Sikkim
Dravida Munnetra Kazhagam - DMK,22,Tamil Nadu
Indian National Congress - INC,9,Tamil Nadu
Viduthalai Chiruthaigal Katchi - VCK,2,Tamil Nadu
Communist Party of India - CPI,2,Tamil Nadu
Communist Party of India (Marxist) - CPI(M),2,Tamil Nadu
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,Tamil Nadu
Indian Union Muslim League - IUML,1,Tamil Nadu
Bharatiya Janata Party - BJP,8,Telangana
Indian National Congress - INC,8,Telangana
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,Telangana
Bharatiya Janata Party - BJP,2,Tripura
Samajwadi Party - SP,37,Uttar Pradesh
Bharatiya Janata Party - BJP,33,Uttar Pradesh
Indian National Congress - INC,6,Uttar Pradesh
Rashtriya Lok Dal - RLD,2,Uttar Pradesh
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,Uttar Pradesh
Apna Dal (Soneylal) - ADAL,1,Uttar Pradesh
Bharatiya Janata Party - BJP,5,Uttarakhand
